Indicator	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9
-1	17	23	27	13	42	31	38	26	39
-1	0	0	27	2172	42	31	38	26	39
-1	0	3953	27	13	13518	31	0	0	39
-1	0	0	27	2172	6759	31	38	0	39
-1	6413	0	9510	0	42	0	38	0	6496
-1	0	3953	9510	0	13519	0	0	0	6496
-1	0	0	27	4343	42	4965	38	26	39
-1	0	0	27	4344	6759	4965	38	0	39
-1	0	23	27	13	42	31	6213	26	39
-1	0	0	27	2172	42	31	6213	26	39
-1	0	23	9510	0	42	0	6213	26	6496
-1	0	0	27	2172	6759	31	6213	0	39
-1	0	0	27	4343	42	4965	6212	26	39
-1	0	0	27	4344	6759	4966	6213	0	39
-1	17	0	27	13	0	31	38	4674	39
-1	0	0	27	2172	0	31	38	4674	39
-1	0	0	27	4344	0	4966	38	4674	39
-1	0	0	27	13	0	31	6213	4674	39
-1	0	0	9510	0	0	0	6213	4674	6496
-1	0	0	27	2172	0	31	6213	4674	39
-1	0	0	27	4344	0	4966	6213	4674	39
