Indicator	CBF1	GAL4	SWI5	GAL80	ASH1
-1	46.39136158	10.06157523	73.98278054	11.04854346	23.73785413
-2	1081.724666	9.934524737	368.993336	13.39959618	98.29987099
-3	161.3575885	169.5755409	391.8391171	12.24497241	78.65414828
-4	199.3441721	10.50097187	437.7968057	11.06131461	68.39335633
-5	9.662864636	8.668511501	6.236706143	1093.030254	8.708661223
-6	34.43750924	7.529946807	29.28496878	9.240245621	382.2196517
-1	6.434304822	8.191442997	5.588460674	9.162773041	10.26112934
-2	2841.527478	11.7190546	117.4403437	9.453078822	32.95558217
-3	82.9469839	270.4311665	72.87999481	12.37295008	15.00582727
-4	64.33138979	10.15499496	318.2722618	13.44611621	19.98414971
-5	5.106911122	8.402299925	7.678285926	639.4927906	7.687161356
-6	9.275906901	5.453004268	5.018362066	10.50181543	367.5122397
